date,transect,location_cm
3/31/2022,t1,295
3/31/2022,t1,332
3/31/2022,t1,337
3/31/2022,t1,634
3/31/2022,t1,889
3/31/2022,t1,2211
3/31/2022,t1,2357
3/31/2022,t1,2524
3/31/2022,t1,2538
3/31/2022,t1,2582
3/31/2022,t1,2599
3/31/2022,t1,2620
3/31/2022,t1,2638
3/31/2022,t1,2667
3/31/2022,t1,2958
3/31/2022,t1,2958
3/31/2022,t1,3127
3/31/2022,t1,3142
3/31/2022,t1,3150
3/31/2022,t1,3184
3/31/2022,t1,4290
3/31/2022,t1,4500
3/31/2022,t1,4569
3/31/2022,t1,4747
3/31/2022,t1,4801
3/31/2022,t1,5110
3/31/2022,t1,6430
3/31/2022,t1,6454
3/31/2022,t1,6468
3/31/2022,t1,6496
3/31/2022,t1,7439
3/31/2022,t1,8060
3/31/2022,t1,8477
3/31/2022,t1,8485
3/31/2022,t1,8831
4/4/2022,t2,537
4/4/2022,t2,559
4/4/2022,t2,638
4/4/2022,t2,627
4/4/2022,t2,607
4/4/2022,t2,1635
4/4/2022,t2,2541
4/4/2022,t2,2910
4/4/2022,t2,3230
4/4/2022,t2,3167
4/4/2022,t2,3228
4/4/2022,t2,3269
4/4/2022,t2,3926
4/4/2022,t2,3965
4/4/2022,t2,3997
4/4/2022,t2,4156
4/4/2022,t2,4110
4/4/2022,t2,4173
4/4/2022,t2,4170
4/4/2022,t2,4189
4/4/2022,t2,4228
4/4/2022,t2,4254
4/4/2022,t2,4450
4/4/2022,t2,4482
4/4/2022,t2,4527
4/4/2022,t2,4541
4/4/2022,t2,4576
4/4/2022,t2,4632
4/4/2022,t2,4610
4/4/2022,t2,4628
4/4/2022,t2,4635
4/4/2022,t2,4684
4/4/2022,t2,4691
4/4/2022,t2,4994
4/4/2022,t2,5168
4/4/2022,t2,5291
4/4/2022,t2,5277
4/4/2022,t2,6006
4/4/2022,t2,6020
4/4/2022,t2,6329
4/4/2022,t2,6338
4/4/2022,t2,6374
4/4/2022,t2,6400
4/4/2022,t2,6483
4/4/2022,t2,6568
4/4/2022,t2,6821
4/4/2022,t2,6926
4/4/2022,t2,6938
4/4/2022,t2,6934
4/4/2022,t2,6950
4/4/2022,t2,7440
4/4/2022,t2,7504
4/4/2022,t2,7516
4/4/2022,t2,8673
4/4/2022,t2,8859
4/4/2022,t2,8943
