date,transect,type,start_cm,stop_cm
7/6/2022,t1,DC,751,753
7/6/2022,t1,L,954,959
7/6/2022,t1,DC,969,982
7/6/2022,t1,M,1197,1200
7/6/2022,t1,L,1272,1274
7/6/2022,t1,DC,1286,1295
7/6/2022,t1,M,1548,1550
7/6/2022,t1,L,1880,1884
7/6/2022,t1,DC,1888,1907
7/6/2022,t1,DC,7178,7197
7/6/2022,t1,DC,7225,7228
7/6/2022,t1,DC,7287,7291
6/29/2022,t2,DC,47,57
6/29/2022,t2,M,702,708
6/29/2022,t2,M,713,715
6/29/2022,t2,DC,7912,7916
6/29/2022,t3,,,
7/5/2022,t4,M,9789,9793
7/5/2022,t4,M,9795,9803
7/6/2022,t5,DC,1117,1120
7/6/2022,t5,DC,1430,1433
7/6/2022,t5,DC,1491,1494
7/6/2022,t5,DC,1498,1501
7/6/2022,t5,DC,1507,1513
7/6/2022,t5,DC,1517,1523
7/6/2022,t5,DC,1559,1561
7/6/2022,t5,M,1584,1587
7/6/2022,t5,M,1635,1637
7/6/2022,t5,DC,1640,1642
7/6/2022,t5,DC,3920,3923
7/6/2022,t5,DC,3966,3968
7/6/2022,t5,DC,3984,3991
7/6/2022,t5,DC,5740,5745
7/6/2022,t5,DC,7336,7355
7/6/2022,t5,DC,7387,7394
7/6/2022,t5,DC,9472,9478
7/6/2022,t5,DC,9507,9510
7/6/2022,t5,DC,9522,9526
7/7/2022,t6,,,
7/7/2022,t7,,,
4/11/2022,t8,L,5642,5649
4/11/2022,t9,L,8349,8352
4/12/2022,t10,,,
4/13/2022,t11,DC,909,912
4/13/2022,t11,DC,916,932
4/13/2022,t11,DC,945,959
4/13/2022,t11,DC,971,982
4/13/2022,t11,DC,1733,1735
4/13/2022,t11,DC,1750,1757
4/13/2022,t11,DC,1781,1788
4/13/2022,t11,DC,1802,1805
4/13/2022,t11,DC,1811,1814
4/13/2022,t11,DC,1828,1832
4/13/2022,t11,DC,1847,1851
4/13/2022,t11,DC,1858,1861
4/13/2022,t11,DC,1864,1871
4/13/2022,t11,M,1988,1991
4/13/2022,t11,DC,1991,2003
4/13/2022,t11,DC,2013,2018
4/13/2022,t11,DC,2026,2045
4/13/2022,t11,M,2051,2069
4/13/2022,t11,M,2078,2096
4/13/2022,t11,M,4727,4732
4/13/2022,t11,DC,5502,5506
4/13/2022,t11,M,5525,5528
4/13/2022,t11,DC,6670,6676
4/13/2022,t11,DC,6682,6686
4/13/2022,t11,DC,6830,6833
4/13/2022,t11,DC,6853,6856
4/13/2022,t11,DC,6858,6906
4/13/2022,t11,DC,6927,7024
4/13/2022,t11,M,7000,7013
4/13/2022,t11,L,7593,7595
4/13/2022,t11,L,7615,7620
4/13/2022,t11,L,7640,7647
4/13/2022,t11,M,7725,7735
4/13/2022,t11,DC,7735,7739
4/13/2022,t11,L,7744,7748
4/13/2022,t11,DC,7762,7798
4/13/2022,t11,DC,7802,7822
4/13/2022,t11,DC,7829,7833
4/13/2022,t11,M,7836,7839
4/13/2022,t11,DC,7839,7845
4/13/2022,t11,DC,7855,7860
4/13/2022,t11,DC,7866,7876
4/13/2022,t11,DC,7888,7894
4/13/2022,t11,L,7912,7919
4/13/2022,t11,DC,7933,7942
4/13/2022,t11,DC,7960,7976
4/13/2022,t11,L,7996,7998
4/13/2022,t11,DC,8080,8082
4/13/2022,t11,DC,8518,8522
4/13/2022,t11,DC,8563,8571
4/13/2022,t11,L,8593,8599
4/13/2022,t11,DC,8604,8611
4/13/2022,t11,DC,8991,8998
4/13/2022,t11,DC,9007,9010
4/13/2022,t11,DC,9136,9140
4/13/2022,t11,DC,9154,9157
4/13/2022,t11,DC,9161,9164
4/13/2022,t11,DC,9185,9201
4/13/2022,t11,DC,9261,9267
4/13/2022,t11,DC,9287,9299
4/13/2022,t11,DC,9499,9508
4/14/2022,t12,DC,1185,1195
4/14/2022,t12,M,1198,1200
4/14/2022,t12,M,1240,1242
4/14/2022,t12,DC,2149,2157
4/14/2022,t12,DC,2414,2419
4/14/2022,t12,DC,2429,2431
4/14/2022,t12,DC,2515,2524
4/14/2022,t12,DC,3005,3007
4/14/2022,t12,DC,3088,3091
4/14/2022,t12,M,3125,3130
4/14/2022,t12,DC,3445,3449
4/14/2022,t12,DC,3459,3561
4/14/2022,t12,DC,3564,3604
4/14/2022,t12,M,3604,3621
4/14/2022,t12,M,3655,3666
4/14/2022,t12,DC,3892,3895
4/14/2022,t12,DC,3824,3930
4/14/2022,t12,DC,4009,4013
4/14/2022,t12,DC,4019,4023
4/14/2022,t12,DC,4039,4051
4/14/2022,t12,DC,4058,4061
4/14/2022,t12,DC,4068,4074
4/14/2022,t12,DC,4079,4081
4/14/2022,t12,DC,4084,4088
4/14/2022,t12,DC,4393,4400
4/14/2022,t12,M,4422,4432
4/14/2022,t12,DC,4438,4448
4/14/2022,t12,DC,4449,4454
4/14/2022,t12,DC,5345,5351
4/14/2022,t12,DC,5737,5741
4/14/2022,t12,DC,6065,6072
4/14/2022,t12,M,6913,6922
4/14/2022,t12,DC,7088,7146
4/14/2022,t12,DC,7316,7352
4/14/2022,t12,DC,8674,8716
4/14/2022,t12,DC,8832,8837
4/14/2022,t12,DC,9981,9985
4/15/2022,t13,,,
4/15/2022,t14,DC,9861,9870
4/15/2022,t14,M,9867,9881
4/15/2022,t14,DC,9888,9900
4/15/2022,t14,DC,9921,9928
4/18/2022,t15,,,
4/18/2022,t16,,,
4/20/2022,t17,DC,1398,1400
4/20/2022,t17,DC,3148,3150
4/20/2022,t17,L,3210,3214
4/21/2022,t18,DC,7169,7175
4/21/2022,t18,DC,7203,7210
4/21/2022,t18,DC,7215,7221
4/21/2022,t18,DC,7230,7251
4/21/2022,t18,DC,7278,7286
4/21/2022,t18,DC,7338,7345
