date,transect,L1_location_cm,L2_location_cm,L3_location_cm,L4_location_cm,L4_diameter_cm,slope_degrees
3/31/2022,t1,4363,4595,7147,,,6
3/31/2022,t1,4224,4597,,,,
3/31/2022,t1,4486,4591,,,,
3/31/2022,t1,4465,4571,,,,
3/31/2022,t1,4491,4458,,,,
3/31/2022,t1,4497,3959,,,,
3/31/2022,t1,4496,3913,,,,
3/31/2022,t1,4505,,,,,
3/31/2022,t1,4507,,,,,
3/31/2022,t1,4515,,,,,
3/31/2022,t1,4532,,,,,
3/31/2022,t1,4575,,,,,
3/31/2022,t1,4630,,,,,
3/31/2022,t1,4627,,,,,
3/31/2022,t1,4705,,,,,
3/31/2022,t1,4710,,,,,
3/31/2022,t1,4770,,,,,
3/31/2022,t1,4758,,,,,
3/31/2022,t1,4801,,,,,
3/31/2022,t1,4803,,,,,
3/31/2022,t1,4805,,,,,
3/31/2022,t1,4810,,,,,
3/31/2022,t1,4828,,,,,
3/31/2022,t1,5072,,,,,
3/31/2022,t1,5487,,,,,
3/31/2022,t1,5488,,,,,
3/31/2022,t1,5504,,,,,
3/31/2022,t1,5536,,,,,
3/31/2022,t1,5539,,,,,
4/4/2022,t2,5393,4066,,,,2
4/4/2022,t2,5339,4074,,,,
4/4/2022,t2,5334,4087,,,,
4/4/2022,t2,4837,4096,,,,
4/4/2022,t2,4827,4115,,,,
4/4/2022,t2,4819,4202,,,,
4/4/2022,t2,4768,4582,,,,
4/4/2022,t2,4670,4590,,,,
4/4/2022,t2,4671,4609,,,,
4/4/2022,t2,4628,6556,,,,
4/4/2022,t2,4603,,,,,
4/4/2022,t2,4588,,,,,
4/4/2022,t2,4564,,,,,
4/4/2022,t2,4266,,,,,
4/5/2022,t3,5611,4269,,,,2
4/5/2022,t3,5609,4260,,,,
4/5/2022,t3,5394,4742,,,,
4/5/2022,t3,5359,5905,,,,
4/5/2022,t3,5309,,,,,
4/5/2022,t3,5274,,,,,
4/5/2022,t3,5253,,,,,
4/5/2022,t3,5237,,,,,
4/5/2022,t3,5231,,,,,
4/5/2022,t3,5144,,,,,
4/5/2022,t3,5009,,,,,
4/5/2022,t3,4990,,,,,
4/5/2022,t3,4984,,,,,
4/5/2022,t3,4971,,,,,
4/5/2022,t3,4959,,,,,
4/5/2022,t3,4916,,,,,
4/5/2022,t3,4913,,,,,
4/5/2022,t3,4867,,,,,
4/5/2022,t3,4851,,,,,
4/5/2022,t3,4843,,,,,
4/5/2022,t3,4777,,,,,
4/5/2022,t3,4503,,,,,
4/5/2022,t3,4497,,,,,
4/5/2022,t3,4494,,,,,
4/5/2022,t3,4471,,,,,
4/5/2022,t3,4453,,,,,
4/5/2022,t3,4446,,,,,
4/5/2022,t3,4443,,,,,
4/5/2022,t3,4442,,,,,
4/5/2022,t3,4436,,,,,
4/5/2022,t3,4435,,,,,
4/5/2022,t3,4399,,,,,
4/5/2022,t3,4398,,,,,
4/5/2022,t3,4311,,,,,
4/5/2022,t3,4268,,,,,
4/5/2022,t4,4254,4849,,,,0
4/5/2022,t4,4293,5234,,,,
4/5/2022,t4,4222,4622,,,,
4/5/2022,t4,4230,4850,,,,
4/5/2022,t4,4260,,,,,
4/5/2022,t4,4261,,,,,
4/5/2022,t4,4401,,,,,
4/5/2022,t4,4421,,,,,
4/5/2022,t4,4426,,,,,
4/5/2022,t4,4431,,,,,
4/5/2022,t4,4589,,,,,
4/5/2022,t4,4628,,,,,
4/5/2022,t4,4632,,,,,
4/5/2022,t4,4641,,,,,
4/5/2022,t4,4656,,,,,
4/5/2022,t4,4661,,,,,
4/5/2022,t4,4681,,,,,
4/5/2022,t4,4734,,,,,
4/5/2022,t4,4862,,,,,
4/5/2022,t4,4898,,,,,
4/5/2022,t4,4970,,,,,
4/5/2022,t4,5082,,,,,
4/5/2022,t4,5187,,,,,
4/5/2022,t4,5196,,,,,
4/5/2022,t4,5209,,,,,
4/5/2022,t4,5222,,,,,
4/5/2022,t4,5227,,,,,
4/5/2022,t4,5247,,,,,
4/5/2022,t4,5247,,,,,
4/5/2022,t4,5250,,,,,
4/5/2022,t4,5251,,,,,
4/5/2022,t4,5254,,,,,
4/5/2022,t4,5257,,,,,
4/5/2022,t4,5260,,,,,
4/5/2022,t4,5264,,,,,
4/5/2022,t4,5267,,,,,
4/5/2022,t4,5282,,,,,
4/5/2022,t4,5346,,,,,
4/5/2022,t4,5355,,,,,
4/5/2022,t4,5376,,,,,
4/5/2022,t4,5380,,,,,
4/5/2022,t4,5664,,,,,
4/6/2022,t5,5746,5097,5645,5223,15.5,5
4/6/2022,t5,5707,,,,,
4/6/2022,t5,5705,,,,,
4/6/2022,t5,5659,,,,,
4/6/2022,t5,5632,,,,,
4/6/2022,t5,5368,,,,,
4/6/2022,t5,5348,,,,,
4/6/2022,t5,5162,,,,,
4/6/2022,t5,5157,,,,,
4/6/2022,t5,5148,,,,,
4/6/2022,t5,5092,,,,,
4/6/2022,t5,5084,,,,,
4/6/2022,t5,4850,,,,,
4/6/2022,t5,4841,,,,,
4/6/2022,t5,4835,,,,,
4/6/2022,t5,4833,,,,,
4/6/2022,t5,4832,,,,,
4/6/2022,t5,4831,,,,,
4/6/2022,t5,4829,,,,,
4/6/2022,t5,4826,,,,,
4/6/2022,t5,4824,,,,,
4/6/2022,t5,4802,,,,,
4/6/2022,t5,4799,,,,,
4/6/2022,t5,4797,,,,,
4/6/2022,t5,4790,,,,,
4/6/2022,t5,4779,,,,,
4/6/2022,t5,4778,,,,,
4/6/2022,t5,4769,,,,,
4/6/2022,t5,4768,,,,,
4/6/2022,t5,4709,,,,,
4/6/2022,t5,4708,,,,,
4/6/2022,t5,4707,,,,,
4/6/2022,t5,4705,,,,,
4/6/2022,t5,4702,,,,,
4/6/2022,t5,4701,,,,,
4/6/2022,t5,4680,,,,,
4/6/2022,t5,4648,,,,,
4/6/2022,t5,4641,,,,,
4/6/2022,t5,4624,,,,,
4/6/2022,t5,4460,,,,,
4/6/2022,t5,4378,,,,,
4/6/2022,t6,4814,4225,,2019,39,3
4/6/2022,t6,4593,,,1882,15,
4/6/2022,t6,4401,,,,,
4/6/2022,t6,4318,,,,,
4/6/2022,t6,4315,,,,,
4/6/2022,t6,4310,,,,,
4/6/2022,t6,4290,,,,,
4/6/2022,t6,4283,,,,,
4/6/2022,t6,4265,,,,,
4/6/2022,t6,4253,,,,,
4/7/2022,t7,5692,6222,,896,9,3
4/7/2022,t7,5687,6233,,,,
4/7/2022,t7,5490,,,,,
4/7/2022,t7,5480,,,,,
4/7/2022,t7,5478,,,,,
4/7/2022,t7,5468,,,,,
4/7/2022,t7,5464,,,,,
4/7/2022,t7,5456,,,,,
4/7/2022,t7,5455,,,,,
4/7/2022,t7,5447,,,,,
4/7/2022,t7,5446,,,,,
4/7/2022,t7,5436,,,,,
4/7/2022,t7,5435,,,,,
4/7/2022,t7,5428,,,,,
4/7/2022,t7,5405,,,,,
4/7/2022,t7,5215,,,,,
4/7/2022,t7,5202,,,,,
4/7/2022,t7,5150,,,,,
4/7/2022,t7,5147,,,,,
4/7/2022,t7,5142,,,,,
4/7/2022,t7,5116,,,,,
4/7/2022,t7,5020,,,,,
4/7/2022,t7,5018,,,,,
4/7/2022,t7,5019,,,,,
4/7/2022,t7,5011,,,,,
4/7/2022,t7,5007,,,,,
4/7/2022,t7,4992,,,,,
4/7/2022,t7,4979,,,,,
4/7/2022,t7,4959,,,,,
4/7/2022,t7,4951,,,,,
4/7/2022,t7,4948,,,,,
4/7/2022,t7,4945,,,,,
4/7/2022,t7,4941,,,,,
4/7/2022,t7,4935,,,,,
4/7/2022,t7,4939,,,,,
4/7/2022,t7,4931,,,,,
4/7/2022,t7,4921,,,,,
4/7/2022,t7,4920,,,,,
4/7/2022,t7,4690,,,,,
4/7/2022,t7,4660,,,,,
4/7/2022,t7,4653,,,,,
4/7/2022,t7,4644,,,,,
4/7/2022,t7,4416,,,,,
4/7/2022,t7,4411,,,,,
4/7/2022,t7,4408,,,,,
4/7/2022,t7,4403,,,,,
4/7/2022,t7,4402,,,,,
4/7/2022,t7,4398,,,,,
4/7/2022,t7,4396,,,,,
4/7/2022,t7,4393,,,,,
4/7/2022,t7,4385,,,,,
4/7/2022,t7,4374,,,,,
4/7/2022,t7,4361,,,,,
4/7/2022,t7,4360,,,,,
4/7/2022,t7,4359,,,,,
4/7/2022,t7,4356,,,,,
4/7/2022,t7,4355,,,,,
4/7/2022,t7,4353,,,,,
4/7/2022,t7,4342,,,,,
4/7/2022,t7,4341,,,,,
4/7/2022,t7,4340,,,,,
4/7/2022,t7,4339,,,,,
4/7/2022,t7,4332,,,,,
4/7/2022,t7,4331,,,,,
4/7/2022,t7,4330,,,,,
4/7/2022,t7,4312,,,,,
4/7/2022,t7,4309,,,,,
4/7/2022,t7,4299,,,,,
4/7/2022,t7,4289,,,,,
4/7/2022,t7,4287,,,,,
4/7/2022,t7,4280,,,,,
4/7/2022,t7,4266,,,,,
4/11/2022,t8,4257,4795,,,,0
4/11/2022,t8,4258,5768,,,,
4/11/2022,t8,4262,5873,,,,
4/11/2022,t8,4267,,,,,
4/11/2022,t8,4281,,,,,
4/11/2022,t8,4286,,,,,
4/11/2022,t8,4336,,,,,
4/11/2022,t8,4349,,,,,
4/11/2022,t8,4355,,,,,
4/11/2022,t8,4368,,,,,
4/11/2022,t8,4469,,,,,
4/11/2022,t8,4476,,,,,
4/11/2022,t8,4482,,,,,
4/11/2022,t8,4488,,,,,
4/11/2022,t8,4490,,,,,
4/11/2022,t8,4491,,,,,
4/11/2022,t8,4495,,,,,
4/11/2022,t8,4503,,,,,
4/11/2022,t8,4509,,,,,
4/11/2022,t8,4530,,,,,
4/11/2022,t8,4590,,,,,
4/11/2022,t8,4592,,,,,
4/11/2022,t8,4623,,,,,
4/11/2022,t8,4637,,,,,
4/11/2022,t8,4656,,,,,
4/11/2022,t8,4709,,,,,
4/11/2022,t8,4733,,,,,
4/11/2022,t8,4769,,,,,
4/11/2022,t8,4803,,,,,
4/11/2022,t8,4820,,,,,
4/11/2022,t8,4829,,,,,
4/11/2022,t8,4831,,,,,
4/11/2022,t8,4832,,,,,
4/11/2022,t8,4833,,,,,
4/11/2022,t8,4835,,,,,
4/11/2022,t8,4839,,,,,
4/11/2022,t8,4840,,,,,
4/11/2022,t8,4842,,,,,
4/11/2022,t8,4848,,,,,
4/11/2022,t8,4850,,,,,
4/11/2022,t8,4853,,,,,
4/11/2022,t8,4855,,,,,
4/11/2022,t8,4871,,,,,
4/11/2022,t8,4878,,,,,
4/11/2022,t8,4880,,,,,
4/11/2022,t8,4885,,,,,
4/11/2022,t8,4896,,,,,
4/11/2022,t8,4979,,,,,
4/11/2022,t8,5211,,,,,
4/11/2022,t8,5313,,,,,
4/11/2022,t8,5343,,,,,
4/11/2022,t8,5348,,,,,
4/11/2022,t8,5375,,,,,
4/11/2022,t8,5381,,,,,
4/11/2022,t8,5389,,,,,
4/11/2022,t8,5395,,,,,
4/11/2022,t8,5400,,,,,
4/11/2022,t8,5405,,,,,
4/11/2022,t8,5406,,,,,
4/11/2022,t8,5428,,,,,
4/11/2022,t8,5434,,,,,
4/11/2022,t8,5440,,,,,
4/11/2022,t8,5445,,,,,
4/11/2022,t8,5459,,,,,
4/11/2022,t8,5464,,,,,
4/11/2022,t8,5479,,,,,
4/11/2022,t8,5482,,,,,
4/11/2022,t8,5481,,,,,
4/11/2022,t8,5484,,,,,
4/11/2022,t8,5488,,,,,
4/11/2022,t8,5489,,,,,
4/11/2022,t8,5492,,,,,
4/11/2022,t8,5496,,,,,
4/11/2022,t8,5498,,,,,
4/11/2022,t8,5501,,,,,
4/11/2022,t8,5513,,,,,
4/11/2022,t8,5514,,,,,
4/11/2022,t8,5515,,,,,
4/11/2022,t8,5517,,,,,
4/11/2022,t8,5517,,,,,
4/11/2022,t8,5519,,,,,
4/11/2022,t8,5520,,,,,
4/11/2022,t8,5522,,,,,
4/11/2022,t8,5532,,,,,
4/11/2022,t8,5537,,,,,
4/11/2022,t8,5538,,,,,
4/11/2022,t8,5540,,,,,
4/11/2022,t8,5544,,,,,
4/11/2022,t8,5543,,,,,
4/11/2022,t8,5545,,,,,
4/11/2022,t8,5548,,,,,
4/11/2022,t8,5549,,,,,
4/11/2022,t8,5550,,,,,
4/11/2022,t8,5551,,,,,
4/11/2022,t8,5565,,,,,
4/11/2022,t8,5570,,,,,
4/11/2022,t8,5575,,,,,
4/11/2022,t8,5587,,,,,
4/11/2022,t8,5588,,,,,
4/11/2022,t8,5674,,,,,
4/11/2022,t8,5685,,,,,
4/11/2022,t8,5688,,,,,
4/11/2022,t8,5695,,,,,
4/11/2022,t8,5700,,,,,
4/11/2022,t8,5702,,,,,
4/11/2022,t8,5702,,,,,
4/11/2022,t8,5705,,,,,
4/11/2022,t8,5706,,,,,
4/11/2022,t8,5708,,,,,
4/11/2022,t8,5713,,,,,
4/11/2022,t8,5720,,,,,
4/11/2022,t8,5725,,,,,
4/11/2022,t8,5728,,,,,
4/11/2022,t8,5730,,,,,
4/11/2022,t8,5733,,,,,
4/11/2022,t8,5739,,,,,
4/11/2022,t8,5740,,,,,
4/11/2022,t8,5741,,,,,
4/11/2022,t8,5750,,,,,
4/11/2022,t9,5172,,,,,1
4/11/2022,t9,5207,,,,,
4/11/2022,t9,5211,,,,,
4/12/2022,t10,4379,5819,6239,,,
4/12/2022,t10,4381,5985,6213,,,
4/12/2022,t10,4409,5997,6188,,,
4/12/2022,t10,4422,6142,,,,
4/12/2022,t10,4481,6192,,,,
4/12/2022,t10,4560,6197,,,,
4/12/2022,t10,4984,6207,,,,
4/12/2022,t10,4990,,,,,
4/12/2022,t10,5019,,,,,
4/12/2022,t10,5020,,,,,
4/12/2022,t10,5024,,,,,
4/12/2022,t10,5060,,,,,
4/12/2022,t10,5384,,,,,
4/12/2022,t10,5403,,,,,
4/12/2022,t10,5452,,,,,
4/12/2022,t10,5468,,,,,
4/13/2022,t11,4512,5505,,8261,9,
4/13/2022,t11,4536,5672,,8311,10,
4/13/2022,t11,4539,,,,,
4/13/2022,t11,4557,,,,,
4/13/2022,t11,4561,,,,,
4/13/2022,t11,4563,,,,,
4/13/2022,t11,4564,,,,,
4/13/2022,t11,4570,,,,,
4/13/2022,t11,4586,,,,,
4/13/2022,t11,4618,,,,,
4/13/2022,t11,4625,,,,,
4/13/2022,t11,4626,,,,,
4/13/2022,t11,4628,,,,,
4/13/2022,t11,4648,,,,,
4/13/2022,t11,4691,,,,,
4/13/2022,t11,4695,,,,,
4/13/2022,t11,4701,,,,,
4/13/2022,t11,4708,,,,,
4/13/2022,t11,4713,,,,,
4/13/2022,t11,4715,,,,,
4/13/2022,t11,4756,,,,,
4/13/2022,t11,4815,,,,,
4/13/2022,t11,4839,,,,,
4/13/2022,t11,4840,,,,,
4/13/2022,t11,4851,,,,,
4/13/2022,t11,4861,,,,,
4/13/2022,t11,5206,,,,,
4/13/2022,t11,5214,,,,,
4/13/2022,t11,5214,,,,,
4/13/2022,t11,5216,,,,,
4/13/2022,t11,5217,,,,,
4/13/2022,t11,5218,,,,,
4/13/2022,t11,5223,,,,,
4/13/2022,t11,5227,,,,,
4/13/2022,t11,5231,,,,,
4/13/2022,t11,5234,,,,,
4/13/2022,t11,5235,,,,,
4/13/2022,t11,5235,,,,,
4/13/2022,t11,5238,,,,,
4/13/2022,t11,5241,,,,,
4/13/2022,t11,5243,,,,,
4/13/2022,t11,5244,,,,,
4/13/2022,t11,5248,,,,,
4/13/2022,t11,5249,,,,,
4/13/2022,t11,5250,,,,,
4/13/2022,t11,5252,,,,,
4/13/2022,t11,5256,,,,,
4/13/2022,t11,5261,,,,,
4/13/2022,t11,5266,,,,,
4/13/2022,t11,5278,,,,,
4/13/2022,t11,5298,,,,,
4/13/2022,t11,5420,,,,,
4/13/2022,t11,5424,,,,,
4/13/2022,t11,5426,,,,,
4/13/2022,t11,5495,,,,,
4/13/2022,t11,5496,,,,,
4/13/2022,t11,5497,,,,,
4/13/2022,t11,5508,,,,,
4/13/2022,t11,5512,,,,,
4/13/2022,t11,5522,,,,,
4/13/2022,t11,5535,,,,,
4/13/2022,t11,5539,,,,,
4/13/2022,t11,5545,,,,,
4/13/2022,t11,5557,,,,,
4/13/2022,t11,5559,,,,,
4/13/2022,t11,5564,,,,,
4/13/2022,t11,5570,,,,,
4/13/2022,t11,5572,,,,,
4/13/2022,t11,5573,,,,,
4/13/2022,t11,5578,,,,,
4/13/2022,t11,5618,,,,,
4/13/2022,t11,5664,,,,,
4/13/2022,t11,5670,,,,,
4/13/2022,t11,5677,,,,,
4/13/2022,t11,5693,,,,,
4/13/2022,t11,5696,,,,,
4/13/2022,t11,5720,,,,,
4/14/2022,t12,4511,,,,,
4/14/2022,t12,4536,,,,,
4/14/2022,t12,4804,,,,,
4/14/2022,t12,4805,,,,,
4/14/2022,t12,4815,,,,,
4/14/2022,t12,4960,,,,,
4/14/2022,t12,4961,,,,,
4/14/2022,t12,4972,,,,,
4/14/2022,t12,4973,,,,,
4/14/2022,t12,4975,,,,,
4/14/2022,t12,4976,,,,,
4/14/2022,t12,4994,,,,,
4/14/2022,t12,5007,,,,,
4/14/2022,t12,5015,,,,,
4/14/2022,t12,5046,,,,,
4/14/2022,t12,5060,,,,,
4/14/2022,t12,5068,,,,,
4/14/2022,t12,5073,,,,,
4/14/2022,t12,5082,,,,,
4/14/2022,t12,5089,,,,,
4/14/2022,t12,5105,,,,,
4/14/2022,t12,5214,,,,,
4/14/2022,t12,5238,,,,,
4/14/2022,t12,5498,,,,,
4/14/2022,t12,5519,,,,,
4/14/2022,t12,5548,,,,,
4/14/2022,t12,5580,,,,,
4/15/2022,t13,4255,,,,,4
4/15/2022,t13,4265,,,,,
4/15/2022,t13,4471,,,,,
4/15/2022,t13,4475,,,,,
4/15/2022,t13,4516,,,,,
4/15/2022,t13,4549,,,,,
4/15/2022,t13,4551,,,,,
4/15/2022,t13,4578,,,,,
4/15/2022,t13,4609,,,,,
4/15/2022,t13,4612,,,,,
4/15/2022,t13,4637,,,,,
4/15/2022,t13,5698,,,,,
4/15/2022,t13,5712,,,,,
4/15/2022,t13,5748,,,,,
4/15/2022,t13,5749,,,,,
4/15/2022,t14,4497,,,,,1
4/15/2022,t14,4859,,,,,
4/15/2022,t14,4973,,,,,
4/15/2022,t14,5107,,,,,
4/15/2022,t14,5347,,,,,
4/15/2022,t14,5348,,,,,
4/15/2022,t14,5361,,,,,
4/15/2022,t14,5369,,,,,
4/15/2022,t14,5370,,,,,
4/15/2022,t14,5370,,,,,
4/15/2022,t14,5383,,,,,
4/15/2022,t14,5384,,,,,
4/15/2022,t14,5385,,,,,
4/15/2022,t14,5390,,,,,
4/15/2022,t14,5396,,,,,
4/15/2022,t14,5399,,,,,
4/15/2022,t14,5400,,,,,
4/15/2022,t14,5405,,,,,
4/15/2022,t14,5409,,,,,
4/15/2022,t14,5409,,,,,
4/15/2022,t14,5413,,,,,
4/15/2022,t14,5423,,,,,
4/15/2022,t14,5425,,,,,
4/15/2022,t14,5465,,,,,
4/15/2022,t14,5466,,,,,
4/15/2022,t14,5480,,,,,
4/15/2022,t14,5484,,,,,
4/15/2022,t14,5498,,,,,
4/18/2022,t15,4304,4387,,,,
4/18/2022,t15,4339,4991,,,,
4/18/2022,t15,4375,5019,,,,
4/18/2022,t15,4376,5052,,,,
4/18/2022,t15,4376,5154,,,,
4/18/2022,t15,4377,5185,,,,
4/18/2022,t15,4377,5248,,,,
4/18/2022,t15,4381,5271,,,,
4/18/2022,t15,4381,5272,,,,
4/18/2022,t15,4382,5360,,,,
4/18/2022,t15,4383,5364,,,,
4/18/2022,t15,4385,5366,,,,
4/18/2022,t15,4385,5370,,,,
4/18/2022,t15,4388,5401,,,,
4/18/2022,t15,4390,5402,,,,
4/18/2022,t15,4392,5403,,,,
4/18/2022,t15,4396,5440,,,,
4/18/2022,t15,4397,5523,,,,
4/18/2022,t15,4402,5884,,,,
4/18/2022,t15,4400,5894,,,,
4/18/2022,t15,4403,5931,,,,
4/18/2022,t15,4403,5940,,,,
4/18/2022,t15,4404,6015,,,,
4/18/2022,t15,4404,,,,,
4/18/2022,t15,4406,,,,,
4/18/2022,t15,4408,,,,,
4/18/2022,t15,4409,,,,,
4/18/2022,t15,4409,,,,,
4/18/2022,t15,4410,,,,,
4/18/2022,t15,4463,,,,,
4/18/2022,t15,4465,,,,,
4/18/2022,t15,4473,,,,,
4/18/2022,t15,4475,,,,,
4/18/2022,t15,4481,,,,,
4/18/2022,t15,4506,,,,,
4/18/2022,t15,4522,,,,,
4/18/2022,t15,4531,,,,,
4/18/2022,t15,4546,,,,,
4/18/2022,t15,4546,,,,,
4/18/2022,t15,4545,,,,,
4/18/2022,t15,4547,,,,,
4/18/2022,t15,4553,,,,,
4/18/2022,t15,4554,,,,,
4/18/2022,t15,4559,,,,,
4/18/2022,t15,4562,,,,,
4/18/2022,t15,4565,,,,,
4/18/2022,t15,4569,,,,,
4/18/2022,t15,4570,,,,,
4/18/2022,t15,4571,,,,,
4/18/2022,t15,4574,,,,,
4/18/2022,t15,4579,,,,,
4/18/2022,t15,4582,,,,,
4/18/2022,t15,4582,,,,,
4/18/2022,t15,4584,,,,,
4/18/2022,t15,4585,,,,,
4/18/2022,t15,4586,,,,,
4/18/2022,t15,4587,,,,,
4/18/2022,t15,4588,,,,,
