date,transect,start_cm,stop_cm
6/29/2022,t2,210,440
6/29/2022,t2,1650,2120
6/29/2022,t2,2450,3040
6/29/2022,t2,3970,4580
6/29/2022,t2,4730,5120
6/29/2022,t2,6510,6690
6/29/2022,t2,7120,7450
6/29/2022,t2,8440,9040
6/29/2022,t2,9170,9310
6/29/2022,t2,9670,10000
6/29/2022,t3,1240,2380
6/29/2022,t3,2560,3000
6/29/2022,t3,3050,2410
6/29/2022,t3,3660,4110
6/29/2022,t3,5700,5910
6/29/2022,t3,6080,6330
6/29/2022,t3,6680,7370
6/29/2022,t3,8280,8640
6/29/2022,t3,8940,9110
6/29/2022,t3,9280,9720
6/29/2022,t3,9890,10000
7/5/2022,t4,0,280
7/5/2022,t4,1080,3380
7/5/2022,t4,3640,4150
7/5/2022,t4,6680,7210
7/5/2022,t4,7430,8090
7/5/2022,t4,8270,8530
7/5/2022,t4,8870,9440
7/5/2022,t41,0,0
7/6/2022,t1,8570,8830
7/6/2022,t1,8840,9000
7/6/2022,t1,9125,10000
7/6/2022,t5,0,0
7/7/2022,t6,3520,3695
7/7/2022,t6,3770,3905
7/7/2022,t6,4410,6545
7/7/2022,t6,9150,9240
7/7/2022,t6,9630,10000
7/7/2022,t7,540,2290
7/7/2022,t7,2600,2820
7/7/2022,t7,3230,3780
7/7/2022,t7,3960,4040
7/7/2022,t7,4130,4260
7/7/2022,t7,5490,5670
7/7/2022,t7,7160,7910
7/7/2022,t7,8055,10000
7/8/2022,t32,0,810
7/8/2022,t32,850,930
7/8/2022,t32,1020,2830
7/8/2022,t32,3110,3270
7/8/2022,t32,3370,3910
7/8/2022,t32,7610,7830
7/8/2022,t32,8330,8440
7/8/2022,t32,8670,8910
7/8/2022,t32,9430,9570
7/8/2022,t32,9800,10000
7/8/2022,t13,0,230
7/8/2022,t13,540,1270
7/8/2022,t13,1460,1710
7/8/2022,t13,2080,2510
7/8/2022,t13,4250,4440
7/8/2022,t13,6540,7760
7/8/2022,t13,9250,10000
7/8/2022,t14,190,2220
7/8/2022,t14,2420,2640
7/8/2022,t14,2770,3410
7/8/2022,t14,3760,4060
7/8/2022,t14,4235,4575
7/8/2022,t14,4885,5320
7/8/2022,t14,5500,6360
7/8/2022,t14,6600,7320
7/8/2022,t14,7560,7990
7/12/2022,t33,95,565
7/12/2022,t33,1800,2160
7/12/2022,t33,2435,3490
7/12/2022,t33,3580,3840
7/12/2022,t33,3910,4575
7/12/2022,t33,6850,9400
7/12/2022,t33,9510,9645
7/12/2022,t33,9820,10000
7/12/2022,t34,4780,9630
7/12/2022,t35,3325,3595
7/12/2022,t35,3645,4135
7/12/2022,t35,4165,4355
7/12/2022,t35,4440,4515
7/12/2022,t35,4565,4830
7/12/2022,t35,4880,3235
7/12/2022,t35,5395,5830
7/12/2022,t35,6170,6380
7/12/2022,t35,7830,8700
7/12/2022,t35,8770,8905
7/12/2022,t35,9010,9180
7/12/2022,t36,0,410
7/12/2022,t36,510,615
7/12/2022,t36,3060,3680
7/12/2022,t36,3760,3930
7/12/2022,t36,4050,4500
7/12/2022,t36,4720,5210
7/12/2022,t36,5300,6100
7/12/2022,t36,6990,7240
7/12/2022,t36,8070,8280
7/12/2022,t36,8330,8440
7/12/2022,t36,8540,8880
7/12/2022,t36,9050,9110
7/12/2022,t37,365,670
7/12/2022,t37,3190,3710
7/12/2022,t37,4045,4150
7/12/2022,t37,4210,4345
7/12/2022,t37,4500,5130
7/12/2022,t37,6435,6720
7/13/2022,t18,6500,6640
7/13/2022,t18,7590,7640
7/13/2022,t18,8320,8640
7/13/2022,t18,9360,9445
7/13/2022,t18,9530,9660
7/13/2022,t63,2805,2965
7/13/2022,t63,7175,8080
7/13/2022,t63,8305,8620
7/13/2022,t63,8810,8985
7/13/2022,t63,9360,9440
7/13/2022,t63,9640,10000
7/13/2022,t38,2390,3710
7/13/2022,t39,1080,1210
7/13/2022,t39,2640,3000
7/14/2022,t22,1045,1355
7/14/2022,t22,2880,3850
7/14/2022,t22,7785,8060
7/14/2022,t22,8210,9405
7/14/2022,t22,9475,10000
7/14/2022,t40,0,105
7/14/2022,t40,380,2990
7/14/2022,t40,3215,3705
7/14/2022,t40,5505,5580
7/14/2022,t40,5790,6445
7/14/2022,t23,3680,4570
7/14/2022,t23,5010,5605
7/14/2022,t23,5810,6010
7/14/2022,t23,8020,8405
7/14/2022,t23,8470,8535
7/14/2022,t23,8900,9110
7/15/2022,t53,615,925
7/15/2022,t53,1210,2365
7/15/2022,t53,4595,4805
7/15/2022,t53,4950,5510
7/15/2022,t53,6350,6720
7/15/2022,t62,2925,3705
7/15/2022,t62,3745,4710
7/15/2022,t62,4830,5035
7/15/2022,t62,5580,5830
7/15/2022,t62,6195,6440
7/15/2022,t62,6770,10000
7/15/2022,t64,1820,1975
7/15/2022,t64,2120,2470
7/15/2022,t64,2630,3095
7/15/2022,t64,3450,5115
7/15/2022,t64,7770,8470
7/15/2022,t64,8810,8940
7/15/2022,t64,9480,9670
7/15/2022,t64,9690,10000
7/18/2022,t8,0,1075
7/18/2022,t8,1225,4100
7/18/2022,t8,7060,8370
7/18/2022,t8,9255,9400
7/18/2022,t8,9550,9745
7/18/2022,t61,3460,4785
7/18/2022,t61,4870,5870
7/18/2022,t61,6090,7090
7/18/2022,t61,7140,7270
7/18/2022,t61,9895,10000
7/18/2022,t19,0,1380
7/18/2022,t19,2130,2285
7/18/2022,t19,2385,4400
7/18/2022,t19,5830,7650
7/18/2022,t54,0,650
7/18/2022,t54,6130,6270
7/18/2022,t54,7010,7360
7/18/2022,t54,7810,8700
7/18/2022,t54,9170,9495
7/18/2022,t55,1160,1365
7/18/2022,t55,1765,2075
7/18/2022,t55,2640,3065
7/18/2022,t55,4190,4920
7/18/2022,t55,5705,6250
7/18/2022,t55,6650,7305
7/18/2022,t55,7430,8640
7/18/2022,t55,8810,10000
7/19/2022,t56,1175,1775
7/19/2022,t56,3480,3915
7/19/2022,t56,4115,4290
7/19/2022,t56,4680,5545
7/19/2022,t56,7310,7425
7/19/2022,t56,7690,7815
7/19/2022,t21,2510,3620
7/19/2022,t21,3690,3960
7/19/2022,t21,5560,9160
7/19/2022,t21,9560,9855
7/19/2022,t9,830,965
7/19/2022,t9,1050,8320
7/19/2022,t60,7950,8050
7/19/2022,t60,8080,9120
7/19/2022,t60,9430,9890
7/20/2022,t57,1375,3705
7/20/2022,t57,5990,6330
7/20/2022,t57,7670,10000
7/20/2022,t20,1175,2920
7/20/2022,t20,3240,3490
7/20/2022,t20,5445,7030
7/20/2022,t20,7180,9065
7/20/2022,t20,9890,10000
7/20/2022,t58,0,1180
7/20/2022,t58,2540,2770
7/20/2022,t58,4155,4480
7/20/2022,t58,4850,7240
