,date,transect,spp,location_cm,height_cm,demographic,flower,year
1,4/1/2022,t1,LATR2,25,60,M,0,2022
2,4/1/2022,t1,LATR2,96,135,M,0,2022
3,4/1/2022,t1,AMDU2,75,42,M,0,2022
4,4/1/2022,t1,EPNE,290,35,D,0,2022
5,4/1/2022,t1,AMDU2,294,3,D,0,2022
6,4/1/2022,t1,EPNE,339,31,M,0,2022
7,4/1/2022,t1,AMDU2,636,41,M,0,2022
8,4/1/2022,t1,AMDU2,826,51,M,0,2022
9,4/1/2022,t1,AMDU2,848,57,M,0,2022
10,4/1/2022,t1,AMDU2,944,27,M,0,2022
11,4/1/2022,t1,AMDU2,981,21,M,0,2022
12,4/1/2022,t1,KRER,1039,30,M,0,2022
13,4/1/2022,t1,AMDU2,1108,33,M,0,2022
14,4/1/2022,t1,AMDU2,1114,42,M,0,2022
15,4/1/2022,t1,AMDU2,1134,48,M,0,2022
16,4/1/2022,t1,AMDU2,1170,49,M,0,2022
17,4/1/2022,t1,AMDU2,1285,28,M,0,2022
18,4/1/2022,t1,AMDU2,1323,40,M,0,2022
19,4/1/2022,t1,KRER,1372,35,M,0,2022
20,4/1/2022,t1,EPNE,1362,49,M,0,2022
21,4/1/2022,t1,LATR2,1411,64,M,0,2022
22,4/1/2022,t1,AMDU2,1432,40,M,0,2022
23,4/1/2022,t1,AMDU2,1562,40,S,0,2022
24,4/1/2022,t1,LATR2,1602,101,M,0,2022
25,4/1/2022,t1,AMDU2,1707,48,M,0,2022
26,4/1/2022,t1,AMDU2,1736,37,M,0,2022
27,4/1/2022,t1,AMDU2,1783,33,M,0,2022
28,4/1/2022,t1,AMDU2,1821,33,D,0,2022
29,4/1/2022,t1,AMDU2,1793,11,D,0,2022
30,4/1/2022,t1,LYAN,1843,35,M,0,2022
31,4/1/2022,t1,LATR2,1849,109,M,0,2022
32,4/1/2022,t1,AMDU2,1903,35,M,0,2022
33,4/1/2022,t1,AMDU2,1936,10,D,0,2022
34,4/1/2022,t1,LATR2,1953,21,M,0,2022
