date,transect,rock_type,start_cm,stop_cm
6/29/2022,t2,G,0,38
6/29/2022,t2,G,42,71
6/29/2022,t2,G,78,93
6/29/2022,t2,C,93,99
6/29/2022,t2,G,99,169
6/29/2022,t2,G,176,178
6/29/2022,t2,G,187,193
6/29/2022,t2,G,211,339
6/29/2022,t2,G,347,446
6/29/2022,t2,S,446,463
6/29/2022,t2,G,468,484
6/29/2022,t2,G,493,496
6/29/2022,t2,G,539,589
6/29/2022,t2,C,589,597
6/29/2022,t2,G,602,624
6/29/2022,t2,C,625,642
6/29/2022,t2,G,644,687
6/29/2022,t2,C,691,709
6/29/2022,t2,G,709,870
6/29/2022,t2,G,920,1123
6/29/2022,t2,G,1135,1141
6/29/2022,t2,G,1244,1358
6/29/2022,t2,G,1399,1494
6/29/2022,t2,C,1494,1499
6/29/2022,t2,G,1499,2096
6/29/2022,t2,G,2105,2129
6/29/2022,t2,G,2137,2153
6/29/2022,t2,G,2274,2774
6/29/2022,t2,G,2781,2958
6/29/2022,t2,G,2963,3083
6/29/2022,t2,G,3097,3117
6/29/2022,t2,G,3152,3165
6/29/2022,t2,G,3229,3410
6/29/2022,t2,G,3500,3607
6/29/2022,t2,G,3677,3897
6/29/2022,t2,G,3912,3915
6/29/2022,t2,G,3952,4521
6/29/2022,t2,C,4521,4530
6/29/2022,t2,G,4530,4587
6/29/2022,t2,G,4690,5137
6/29/2022,t2,G,5291,5331
6/29/2022,t2,G,5451,5461
6/29/2022,t2,G,5490,5801
6/29/2022,t2,G,5931,5970
6/29/2022,t2,G,5986,6045
6/29/2022,t2,G,6143,6184
6/29/2022,t2,C,6196,6202
6/29/2022,t2,G,6202,6393
6/29/2022,t2,G,6402,6442
6/29/2022,t2,G,6515,6681
6/29/2022,t2,G,6692,6720
6/29/2022,t2,G,6735,6760
6/29/2022,t2,G,6825,7037
6/29/2022,t2,G,7042,7045
6/29/2022,t2,G,7117,7173
6/29/2022,t2,G,7182,7191
6/29/2022,t2,G,7197,7205
6/29/2022,t2,G,7217,7386
6/29/2022,t2,G,7394,7479
6/29/2022,t2,G,7641,7662
6/29/2022,t2,G,7676,7734
6/29/2022,t2,G,7745,7786
6/29/2022,t2,G,7860,8004
6/29/2022,t2,G,8054,8216
6/29/2022,t2,C,8216,8225
6/29/2022,t2,G,8225,8280
6/29/2022,t2,G,8309,8316
6/29/2022,t2,G,8350,8357
6/29/2022,t2,G,8375,8387
6/29/2022,t2,G,8431,8582
6/29/2022,t2,C,8582,8589
6/29/2022,t2,G,8589,8807
6/29/2022,t2,C,8807,8811
6/29/2022,t2,G,8811,8901
6/29/2022,t2,C,8901,8910
6/29/2022,t2,G,8910,8957
6/29/2022,t2,C,8957,8978
6/29/2022,t2,G,8978,9079
6/29/2022,t2,G,9089,9095
6/29/2022,t2,G,9109,9351
6/29/2022,t2,G,9491,9544
6/29/2022,t2,G,9581,9602
6/29/2022,t2,G,9641,9933
6/29/2022,t2,G,9965,10000
6/29/2022,t3,G,0,51
6/29/2022,t3,G,79,85
6/29/2022,t3,G,97,175
6/29/2022,t3,G,182,187
6/29/2022,t3,G,197,208
6/29/2022,t3,G,233,236
6/29/2022,t3,G,330,334
6/29/2022,t3,G,398,442
6/29/2022,t3,G,463,607
6/29/2022,t3,G,664,704
6/29/2022,t3,G,713,729
6/29/2022,t3,G,748,880
6/29/2022,t3,G,935,937
6/29/2022,t3,G,947,975
6/29/2022,t3,G,983,1007
6/29/2022,t3,G,1067,1355
6/29/2022,t3,C,1355,1364
6/29/2022,t3,G,1364,1779
6/29/2022,t3,C,1779,1783
6/29/2022,t3,G,1783,1917
6/29/2022,t3,C,1917,1922
6/29/2022,t3,G,1922,2463
6/29/2022,t3,G,2473,2517
6/29/2022,t3,G,2549,3006
6/29/2022,t3,G,3038,3416
6/29/2022,t3,G,3438,3499
6/29/2022,t3,G,3610,4148
6/29/2022,t3,G,4320,4420
6/29/2022,t3,G,4550,4831
6/29/2022,t3,G,4860,4894
6/29/2022,t3,G,4969,5132
6/29/2022,t3,G,5146,5369
6/29/2022,t3,G,5377,5381
6/29/2022,t3,G,5431,5517
6/29/2022,t3,C,5517,5521
6/29/2022,t3,G,5521,5606
6/29/2022,t3,G,5664,6000
6/29/2022,t3,G,6048,6384
6/29/2022,t3,G,6411,6453
6/29/2022,t3,G,6476,6607
6/29/2022,t3,G,6667,6970
6/29/2022,t3,C,6970,6978
6/29/2022,t3,G,6978,7028
6/29/2022,t3,C,7028,7036
6/29/2022,t3,G,7036,7097
6/29/2022,t3,C,7097,7105
6/29/2022,t3,G,7105,7540
6/29/2022,t3,G,7603,7613
6/29/2022,t3,G,7624,7867
6/29/2022,t3,G,7942,8463
6/29/2022,t3,C,8463,8468
6/29/2022,t3,G,8468,8695
6/29/2022,t3,G,8913,9160
6/29/2022,t3,G,9258,9748
6/29/2022,t3,G,9880,10000
7/5/2022,t4,G,0,110
7/5/2022,t4,C,110,119
7/5/2022,t4,G,119,142
7/5/2022,t4,C,142,147
7/5/2022,t4,G,147,194
7/5/2022,t4,C,194,205
7/5/2022,t4,G,205,214
7/5/2022,t4,C,214,220
7/5/2022,t4,G,220,248
7/5/2022,t4,C,248,254
7/5/2022,t4,G,254,288
7/5/2022,t4,C,288,305
7/5/2022,t4,G,305,313
7/5/2022,t4,G,323,329
7/5/2022,t4,G,393,421
7/5/2022,t4,C,421,427
7/5/2022,t4,G,436,536
7/5/2022,t4,C,536,543
7/5/2022,t4,G,543,565
7/5/2022,t4,G,649,805
7/5/2022,t4,G,814,871
7/5/2022,t4,G,906,913
7/5/2022,t4,G,922,991
7/5/2022,t4,C,991,999
7/5/2022,t4,G,999,1012
7/5/2022,t4,C,1012,1016
7/5/2022,t4,G,1016,1050
7/5/2022,t4,C,1050,1058
7/5/2022,t4,G,1058,1246
7/5/2022,t4,C,1246,1252
