date,transect,type,start_cm,stop_cm
6/29/2022,t2,flat,0,1140
6/29/2022,t2,vex,1140,1250
6/29/2022,t2,flat,1250,2180
6/29/2022,t2,vex,2180,2280
6/29/2022,t2,flat,2280,3610
6/29/2022,t2,cave,3610,3960
6/29/2022,t2,flat,3960,4580
6/29/2022,t2,vex,4580,4675
6/29/2022,t2,flat,4675,5300
6/29/2022,t2,vex,5300,5425
6/29/2022,t2,flat,5425,5800
6/29/2022,t2,vex,5800,5930
6/29/2022,t2,flat,5930,6695
6/29/2022,t2,vex,6695,6880
6/29/2022,t2,flat,6880,8255
6/29/2022,t2,vex,8255,8410
6/29/2022,t2,flat,8410,9590
6/29/2022,t2,vex,9590,9630
6/29/2022,t2,flat,9630,10000
6/29/2022,t3,flat,0,210
6/29/2022,t3,vex,210,450
6/29/2022,t3,flat,450,1095
6/29/2022,t3,vex,1095,1165
6/29/2022,t3,flat,1165,3450
6/29/2022,t3,vex,3450,3650
6/29/2022,t3,flat,3650,4135
6/29/2022,t3,vex,4135,4320
6/29/2022,t3,flat,4320,4510
6/29/2022,t3,cave,4510,4825
6/29/2022,t3,vex,4825,4990
6/29/2022,t3,cave,4990,5170
6/29/2022,t3,flat,5170,5615
6/29/2022,t3,vex,5615,5710
6/29/2022,t3,flat,5710,7105
6/29/2022,t3,vex,7105,7170
6/29/2022,t3,flat,7170,7360
6/29/2022,t3,vex,7360,7600
6/29/2022,t3,flat,7600,8840
6/29/2022,t3,vex,8840,8895
6/29/2022,t3,flat,8895,9810
6/29/2022,t3,vex,9810,9860
6/29/2022,t3,flat,9860,10000
7/5/2022,t4,flat,0,460
7/5/2022,t4,cave,460,1030
7/5/2022,t4,flat,1030,3485
7/5/2022,t4,vex,3485,3570
7/5/2022,t4,flat,3570,4200
7/5/2022,t4,vex,4200,4325
7/5/2022,t4,flat,4325,4960
7/5/2022,t4,cave,4960,5330
7/5/2022,t4,flat,5330,6225
7/5/2022,t4,vex,6225,6265
7/5/2022,t4,flat,6265,6595
7/5/2022,t4,vex,6595,6670
7/5/2022,t4,flat,6670,7230
7/5/2022,t4,vex,7230,7295
7/5/2022,t4,flat,7295,8720
7/5/2022,t4,vex,8720,8870
7/5/2022,t4,flat,8870,9520
7/5/2022,t4,cave,9520,10000
7/5/2022,t41,flat,0,1000
7/5/2022,t41,cave,1000,1990
7/5/2022,t41,flat,1990,3485
7/5/2022,t41,vex,3485,3710
7/5/2022,t41,cave,3710,3895
7/5/2022,t41,vex,3895,4000
7/5/2022,t41,flat,4000,4105
7/5/2022,t41,cave,4105,4170
7/5/2022,t41,vex,4170,4420
7/5/2022,t41,cave,4420,5250
7/5/2022,t41,flat,5250,5840
7/5/2022,t41,cave,5840,6230
7/5/2022,t41,flat,6230,7030
7/5/2022,t41,cave,7030,8360
7/5/2022,t41,vex,8360,8800
7/5/2022,t41,cave,8800,10000
7/6/2022,t1,flat,0,325
7/6/2022,t1,cave,325,910
7/6/2022,t1,flat,910,2520
7/6/2022,t1,vex,2520,2645
7/6/2022,t1,flat,2645,3960
7/6/2022,t1,cave,3960,4490
7/6/2022,t1,vex,4490,4620
7/6/2022,t1,flat,4620,6710
7/6/2022,t1,cave,6710,7150
7/6/2022,t1,flat,7150,8410
7/6/2022,t1,vex,8410,8540
7/6/2022,t1,flat,8540,8870
7/6/2022,t1,vex,8870,8925
7/6/2022,t1,flat,8925,9010
7/6/2022,t1,vex,9010,9130
7/6/2022,t1,flat,9130,10000
7/6/2022,t5,flat,0,425
7/6/2022,t5,vex,425,505
7/6/2022,t5,flat,505,1120
7/6/2022,t5,cave,1120,1800
7/6/2022,t5,vex,1800,1865
7/6/2022,t5,flat,1865,3405
7/6/2022,t5,vex,3405,3500
7/6/2022,t5,flat,3500,4310
7/6/2022,t5,cave,4310,4580
7/6/2022,t5,flat,4580,4740
7/6/2022,t5,vex,4740,4815
7/6/2022,t5,flat,4815,5115
7/6/2022,t5,vex,5115,5240
7/6/2022,t5,flat,5240,5960
7/6/2022,t5,vex,5960,6140
7/6/2022,t5,flat,6140,6560
7/6/2022,t5,vex,6560,6740
7/6/2022,t5,flat,6740,6920
7/6/2022,t5,vex,6920,6970
7/6/2022,t5,flat,6970,7190
7/6/2022,t5,cave,7190,7570
7/6/2022,t5,flat,7570,8005
7/6/2022,t5,vex,8005,8095
7/6/2022,t5,flat,8095,8320
7/6/2022,t5,vex,8320,8415
7/6/2022,t5,flat,8415,9840
7/6/2022,t5,vex,9840,9965
7/6/2022,t5,cave,9965,10000
7/7/2022,t6,flat,0,390
7/7/2022,t6,vex,390,525
7/7/2022,t6,flat,525,1845
7/7/2022,t6,cave,1845,1995
7/7/2022,t6,vex,1995,2240
7/7/2022,t6,flat,2240,2890
7/7/2022,t6,vex,2890,2940
7/7/2022,t6,flat,2940,3110
7/7/2022,t6,vex,3110,3405
7/7/2022,t6,flat,3405,4135
7/7/2022,t6,vex,4135,4305
7/7/2022,t6,flat,4305,6875
7/7/2022,t6,vex,6875,6930
7/7/2022,t6,flat,6930,7005
7/7/2022,t6,vex,7005,7175
7/7/2022,t6,flat,7175,7500
7/7/2022,t6,cave,7500,7720
7/7/2022,t6,flat,7720,7865
7/7/2022,t6,vex,7865,8010
7/7/2022,t6,flat,8010,8750
7/7/2022,t6,vex,8750,9060
7/7/2022,t6,flat,9060,9325
7/7/2022,t6,vex,9325,9570
7/7/2022,t6,flat,9570,10000
7/7/2022,t7,flat,0,280
7/7/2022,t7,vex,280,500
7/7/2022,t7,flat,500,2325
7/7/2022,t7,vex,2325,2445
7/7/2022,t7,flat,2445,3020
7/7/2022,t7,vex,3020,3190
7/7/2022,t7,flat,3190,4290
7/7/2022,t7,vex,4290,4415
7/7/2022,t7,flat,4415,5900
7/7/2022,t7,vex,5900,6005
7/7/2022,t7,flat,6005,6280
7/7/2022,t7,vex,6280,6780
7/7/2022,t7,flat,6780,6835
7/7/2022,t7,vex,6835,6935
7/7/2022,t7,flat,6935,7045
7/7/2022,t7,vex,7045,7150
7/7/2022,t7,flat,7150,7920
7/7/2022,t7,vex,7920,8045
7/7/2022,t7,flat,8045,10000
7/8/2022,t32,flat,0,2985
7/8/2022,t32,vex,2985,3015
7/8/2022,t32,flat,3015,3280
7/8/2022,t32,vex,3280,3340
7/8/2022,t32,flat,3340,4450
7/8/2022,t32,vex,4450,4600
7/8/2022,t32,cave,4600,5610
7/8/2022,t32,flat,5610,9730
7/8/2022,t32,vex,9730,9790
7/8/2022,t32,flat,9790,10000
7/8/2022,t13,flat,0,1980
7/8/2022,t13,vex,1980,2060
7/8/2022,t13,flat,2060,4065
7/8/2022,t13,vex,4065,4225
7/8/2022,t13,flat,4225,5195
7/8/2022,t13,cave,5195,5380
7/8/2022,t13,flat,5380,5720
7/8/2022,t13,cave,5720,5940
7/8/2022,t13,flat,5940,6035
7/8/2022,t13,vex,6035,6120
7/8/2022,t13,flat,6120,7800
7/8/2022,t13,vex,7800,8105
7/8/2022,t13,flat,8105,8215
7/8/2022,t13,vex,8215,8235
7/8/2022,t13,flat,8235,8395
