id,transect,soil,oversample,notes,2022_treat,treatment,2023_treat,subarea
"5",t5,"203",no,originally named: control-01,control,control,control,control
"6",t6,"203",no,originally named: control-02,control,control,control,control
"7",t7,"203",no,originally named: control-03,control,control,control,control
"2",t2,"203",no,originally named: disturbance-02,before,solar facility,,B
"3",t3,"203",no,originally named: disturbance-03,before,solar facility,,B
"4",t4,"203",no,originally named: disturbance-04,before,solar facility,,B
"8",t8,"185",no,,before,solar facility,,C
"9",t9,"185",no,,before,solar facility,,C
"17",t17,"203",no,,before,solar facility,,C
"18",t18,"185",no,,before,solar facility,,C
"19",t19,"185",no,,before,solar facility,,C
"20",t20,"185",no,,before,solar facility,,C
"22",t22,"185",no,,before,solar facility,,C
"21",t21,"185",no,,before,solar facility,,C
"13",t13,"203",no,,before,solar facility,,B
"23",t23,"185",no,,before,solar facility,,C
"40",t40,"185",no,,before,solar facility,,C
"55",t55,"185",no,,before,solar facility,,C
"14",t14,"203",no,,before,solar facility,,B
"53",t53,"185",no,,before,solar facility,,C
"54",t54,"185",no,,before,solar facility,,C
"34",t34,"203",no,,before,solar facility,,B
"57",t57,"185",no,,before,solar facility,,C
"39",t39,"185",no,,before,solar facility,,C
"56",t56,"185",no,,before,solar facility,,C
"38",t38,"185",no,,before,solar facility,,C
"41",t41,"185",no,,before,solar facility,,C
"63",t63,"185",no,,before,solar facility,,C
"64",t64,"185",no,,before,solar facility,,C
"61",t61,"185",no,,before,solar facility,,C
"60",t60,"203",yes,,before,solar facility,,C
"59",t59,"203",yes,,before,solar facility,,C
"62",t62,"185",yes,,before,solar facility,,C
,,,yes,,,,,
"36",t36,"203",yes,,before,solar facility,,B
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
"37",t37,"203",yes,,before,solar facility,,B
,,,yes,,reject,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
"35",t35,"203",yes,,before,solar facility,,B
,,,yes,,,,,
,,,yes,,,,,
,,,yes,,,,,
